0,1,2,3,4,5,6,7,8,9,10,11,12,13
50.002316,13.930455,2.6546762,-11.098321,-4.57634,-16.29177,-39.84467,2998.0,0.0,0.0,0.0,0.0,0.0,0.0
50.007393,6.3117504,11.964028,-0.9088729,-2.1356254,8.847591,-27.274988,2998.0,0.0,0.0,0.0,0.0,0.0,0.0
50.012474,6.973621,-4.966427,-7.472422,-9.457769,-10.86118,27.458042,2998.0,0.0,0.0,0.0,0.0,0.0,0.0
50.01755,8.935252,-13.851319,-15.494005,-8.725555,-9.396752,9.640823,2999.0,0.0,0.0,0.0,0.0,0.0,0.0
50.02263,3.1366906,3.088729,3.4940047,-1.0983217,34.90222,-44.848133,2999.0,0.0,0.0,0.0,0.0,0.0,0.0
50.02771,3.741007,8.434052,15.990408,-4.149215,27.458042,-20.62404,2999.0,0.0,0.0,0.0,0.0,0.0,0.0
50.032787,12.647482,-8.755396,9.453238,-11.288306,-2.257661,26.237684,2999.0,0.0,0.0,0.0,0.0,0.0,0.0
50.03787,13.522781,-9.916067,9.77458,-7.7492695,1.9525719,-6.956037,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
50.042946,11.184652,5.5443645,7.6570745,-3.72209,-13.423931,-46.67867,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
50.048023,10.345324,5.4604316,-6.1678658,-7.078073,-37.58701,-20.01386,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
50.053104,11.760192,-5.793765,-20.570744,-8.603519,-34.597134,5.8577156,3001.0,0.0,0.0,0.0,0.0,0.0,0.0
50.05818,10.467626,-2.2853718,-18.436451,1.0983217,0.24407148,-17.390093,3001.0,0.0,0.0,0.0,0.0,0.0,0.0
50.063263,4.920863,8.0,-4.0239806,8.481483,26.481756,-25.993612,3001.0,0.0,0.0,0.0,0.0,0.0,0.0
50.06834,5.7505994,-0.4796163,-2.9736211,6.528912,10.556091,11.654413,3002.0,0.0,0.0,0.0,0.0,0.0,0.0
50.07342,9.256595,-9.609113,-4.407674,6.895019,12.325609,13.606985,3002.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0785,6.846523,1.4292566,11.690647,12.264592,43.078617,-23.308826,3002.0,0.0,0.0,0.0,0.0,0.0,0.0
50.083576,5.527578,6.5155873,21.932854,9.091662,31.973364,-12.081538,3003.0,0.0,0.0,0.0,0.0,0.0,0.0
50.088657,10.80096,-6.5683455,9.901679,0.91526806,-14.766324,18.976557,3003.0,0.0,0.0,0.0,0.0,0.0,0.0
50.093735,12.038369,-8.378897,-3.1630695,1.7085004,-22.271523,-7.566216,3003.0,0.0,0.0,0.0,0.0,0.0,0.0
50.098816,8.817746,6.844125,-2.258993,7.505198,-8.603519,-45.153225,3003.0,0.0,0.0,0.0,0.0,0.0,0.0
50.103893,10.652278,8.935252,-7.964029,6.7729836,-18.488415,-20.502005,3004.0,0.0,0.0,0.0,0.0,0.0,0.0
50.10897,13.2494,-0.72182256,-11.944844,6.1628046,-4.8814297,10.067948,3004.0,0.0,0.0,0.0,0.0,0.0,0.0
50.11405,12.611511,-1.1846523,-2.0839329,10.922198,19.647755,-3.4780185,3004.0,0.0,0.0,0.0,0.0,0.0,0.0
50.11913,9.0023985,6.8561153,2.58753,12.996806,14.156146,-20.196915,3005.0,0.0,0.0,0.0,0.0,0.0,0.0
50.12421,9.035972,2.7482014,-1.4532374,7.932323,1.5864646,2.9898756,3005.0,0.0,0.0,0.0,0.0,0.0,0.0
50.129288,10.597122,-4.436451,1.1822542,6.101787,13.790038,9.640823,3005.0,0.0,0.0,0.0,0.0,0.0,0.0
50.13437,8.928058,2.5659473,6.9448442,6.3458586,15.986682,-20.929129,3006.0,0.0,0.0,0.0,0.0,0.0,0.0
50.139446,9.287769,7.8345323,5.7529974,2.9898756,2.5017326,-19.4647,3006.0,0.0,0.0,0.0,0.0,0.0,0.0
50.144524,12.139089,1.6306955,4.959233,-2.4407148,0.8542502,3.0508935,3006.0,0.0,0.0,0.0,0.0,0.0,0.0
50.149605,12.693046,0.8800959,6.8057556,-2.3796968,3.4780185,-7.078073,3006.0,0.0,0.0,0.0,0.0,0.0,0.0
50.154682,10.047961,7.122302,5.8105516,-1.8305361,-2.5017326,-19.037575,3007.0,0.0,0.0,0.0,0.0,0.0,0.0
50.159763,8.2230215,5.1798563,0.28297362,-4.637358,-11.776449,-2.5627506,3007.0,0.0,0.0,0.0,0.0,0.0,0.0
50.16484,10.177458,-1.5659473,-10.306954,-6.101787,-20.807093,4.515322,3007.0,0.0,0.0,0.0,0.0,0.0,0.0
50.169918,9.211031,1.6091127,-12.913669,-3.0508935,-7.383162,-15.681593,3008.0,0.0,0.0,0.0,0.0,0.0,0.0
50.175,7.1247,7.6978416,-6.5827336,-2.5017326,11.837466,-17.634165,3008.0,0.0,0.0,0.0,0.0,0.0,0.0
50.180077,8.376499,2.2446043,0.4820144,-6.101787,18.366379,6.956037,3008.0,0.0,0.0,0.0,0.0,0.0,0.0
50.185158,11.9976015,-3.3069544,4.971223,-8.664537,18.488415,8.359448,3009.0,0.0,0.0,0.0,0.0,0.0,0.0
50.190235,11.820144,1.6522782,13.858513,-7.871305,23.73595,-11.593395,3009.0,0.0,0.0,0.0,0.0,0.0,0.0
50.195316,11.860911,3.760192,16.808153,-12.081538,7.017055,-9.274716,3009.0,0.0,0.0,0.0,0.0,0.0,0.0
50.200394,12.405275,-1.3285372,9.46283,-16.535843,-14.03411,2.1966434,3010.0,0.0,0.0,0.0,0.0,0.0,0.0
50.20547,10.100719,-0.8705036,1.6402878,-17.817219,-19.525719,-9.701841,3010.0,0.0,0.0,0.0,0.0,0.0,0.0
50.210552,8.203837,3.117506,-6.517986,-17.085003,-26.664808,-20.440987,3010.0,0.0,0.0,0.0,0.0,0.0,0.0
50.21563,7.678657,3.1702638,-14.016787,-17.512129,-24.34613,-12.752735,3010.0,0.0,0.0,0.0,0.0,0.0,0.0
50.22071,6.5083933,0.9352518,-14.501199,-16.535843,-4.088197,-2.0746076,3011.0,0.0,0.0,0.0,0.0,0.0,0.0
50.22579,7.645084,-1.4340527,-8.8896885,-15.010396,12.386627,0.18305361,3011.0,0.0,0.0,0.0,0.0,0.0,0.0
50.230865,8.520384,-0.41007194,-1.3717027,-14.156146,21.600327,-5.918733,3011.0,0.0,0.0,0.0,0.0,0.0,0.0
50.235947,9.611511,0.7865707,7.7482014,-15.437521,29.959774,-2.318679,3012.0,0.0,0.0,0.0,0.0,0.0,0.0
